,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Bathroom
1209,2,32000,610,11,Carpet Area,Mumbai,Unfurnished,2
1210,1,40000,500,13,Super Area,Mumbai,Furnished,2
1211,2,52000,750,4,Carpet Area,Mumbai,Unfurnished,2
1212,2,80000,750,6,Carpet Area,Mumbai,Furnished,2
1213,2,55000,850,6,Carpet Area,Mumbai,Furnished,2
1214,1,30000,350,5,Carpet Area,Mumbai,Unfurnished,1
1215,1,20000,300,2,Carpet Area,Mumbai,Semi-Furnished,1
1216,1,85000,695,2,Carpet Area,Mumbai,Furnished,2
1217,1,40000,415,15,Carpet Area,Mumbai,Semi-Furnished,2
1218,1,21000,450,3,Carpet Area,Mumbai,Unfurnished,2
1219,3,43000,850,8,Carpet Area,Mumbai,Unfurnished,3
1220,2,58000,805,30,Carpet Area,Mumbai,Semi-Furnished,3
1221,2,130000,700,7,Carpet Area,Mumbai,Furnished,2
1222,3,260000,1800,10,Carpet Area,Mumbai,Furnished,4
1223,2,46000,669,15,Carpet Area,Mumbai,Unfurnished,2
1224,1,6500,325,7,Carpet Area,Mumbai,Unfurnished,1
1225,1,21000,600,5,Super Area,Mumbai,Furnished,1
1227,2,60000,750,5,Carpet Area,Mumbai,Semi-Furnished,2
1228,3,65000,1050,13,Carpet Area,Mumbai,Semi-Furnished,3
1229,2,15000,600,18,Carpet Area,Mumbai,Unfurnished,2
1230,2,130000,1000,10,Carpet Area,Mumbai,Semi-Furnished,2
1231,3,90000,1110,9,Carpet Area,Mumbai,Furnished,3
1232,2,62000,650,11,Carpet Area,Mumbai,Unfurnished,2
1233,3,160000,1100,8,Carpet Area,Mumbai,Semi-Furnished,3
1234,3,80000,1100,15,Carpet Area,Mumbai,Unfurnished,3
1235,3,80000,1110,49,Carpet Area,Mumbai,Semi-Furnished,3
1236,3,55000,999,14,Carpet Area,Mumbai,Semi-Furnished,2
1237,3,100000,1000,2,Carpet Area,Mumbai,Furnished,3
1238,4,200000,2200,11,Carpet Area,Mumbai,Semi-Furnished,5
1239,3,100000,1256,10,Carpet Area,Mumbai,Furnished,3
1240,2,79500,750,17,Carpet Area,Mumbai,Semi-Furnished,2
1241,3,84500,889,7,Carpet Area,Mumbai,Semi-Furnished,2
1242,2,100000,750,14,Carpet Area,Mumbai,Semi-Furnished,2
1243,1,13000,385,6,Carpet Area,Mumbai,Unfurnished,1
1244,4,100000,1454,5,Carpet Area,Mumbai,Unfurnished,4
1245,1,35000,480,1,Carpet Area,Mumbai,Semi-Furnished,2
1246,2,72000,660,12,Carpet Area,Mumbai,Semi-Furnished,2
1247,3,180000,1600,9,Carpet Area,Mumbai,Furnished,3
1248,1,26000,434,5,Carpet Area,Mumbai,Semi-Furnished,2
1249,3,72000,1121,7,Carpet Area,Mumbai,Unfurnished,3
1250,1,8000,620,6,Super Area,Mumbai,Semi-Furnished,2
1251,3,130000,937,16,Carpet Area,Mumbai,Furnished,2
1252,1,52000,470,6,Carpet Area,Mumbai,Semi-Furnished,2
1253,1,13000,410,2,Carpet Area,Mumbai,Unfurnished,1
1254,3,45000,850,5,Carpet Area,Mumbai,Unfurnished,3
1255,3,180000,1500,15,Carpet Area,Mumbai,Furnished,4
1256,2,63000,888,12,Carpet Area,Mumbai,Furnished,2
1257,1,7500,380,3,Carpet Area,Mumbai,Unfurnished,2
1258,1,30000,360,4,Carpet Area,Mumbai,Unfurnished,1
1259,1,28500,565,1,Super Area,Mumbai,Furnished,2
1260,3,100000,2000,25,Super Area,Mumbai,Semi-Furnished,4
1261,4,270000,1358,25,Carpet Area,Mumbai,Semi-Furnished,4
1262,2,38000,661,17,Carpet Area,Mumbai,Semi-Furnished,2
1263,1,26000,450,9,Carpet Area,Mumbai,Unfurnished,2
1264,3,70000,1300,6,Carpet Area,Mumbai,Unfurnished,3
1265,2,41000,600,4,Carpet Area,Mumbai,Furnished,2
1266,2,27000,900,0,Super Area,Mumbai,Semi-Furnished,3
1267,1,53000,379,21,Carpet Area,Mumbai,Semi-Furnished,1
1268,2,65000,805,8,Carpet Area,Mumbai,Semi-Furnished,3
1269,1,85000,650,3,Super Area,Mumbai,Furnished,2
1270,1,6000,500,8,Super Area,Mumbai,Semi-Furnished,2
1271,1,43000,480,5,Carpet Area,Mumbai,Furnished,2
1272,2,65000,550,1,Super Area,Mumbai,Semi-Furnished,2
1273,3,280000,1600,5,Carpet Area,Mumbai,Furnished,3
1274,3,98000,1400,4,Carpet Area,Mumbai,Semi-Furnished,2
1275,3,330000,1500,20,Carpet Area,Mumbai,Semi-Furnished,2
1276,3,65000,1050,3,Carpet Area,Mumbai,Unfurnished,3
1277,3,85000,920,4,Carpet Area,Mumbai,Unfurnished,3
1278,1,40000,450,8,Carpet Area,Mumbai,Semi-Furnished,1
1279,1,23000,440,0,Carpet Area,Mumbai,Semi-Furnished,1
1280,3,55000,932,3,Super Area,Mumbai,Unfurnished,3
1281,1,15000,270,15,Carpet Area,Mumbai,Unfurnished,2
1282,1,52000,379,23,Carpet Area,Mumbai,Semi-Furnished,2
1283,2,13000,582,5,Carpet Area,Mumbai,Furnished,2
1284,2,95000,800,6,Carpet Area,Mumbai,Semi-Furnished,2
1285,1,25000,444,7,Carpet Area,Mumbai,Unfurnished,2
1286,1,21000,428,12,Carpet Area,Mumbai,Unfurnished,1
1287,5,360000,1880,11,Carpet Area,Mumbai,Furnished,4
1288,2,60000,888,5,Carpet Area,Mumbai,Semi-Furnished,2
1289,1,19000,490,0,Super Area,Mumbai,Unfurnished,1
1290,3,140000,937,28,Carpet Area,Mumbai,Unfurnished,4
1291,2,30000,710,12,Carpet Area,Mumbai,Unfurnished,2
1292,4,130000,1617,15,Carpet Area,Mumbai,Semi-Furnished,5
1293,2,80000,836,6,Carpet Area,Mumbai,Unfurnished,2
1294,2,85000,1200,36,Carpet Area,Mumbai,Semi-Furnished,3
1295,2,65000,950,9,Carpet Area,Mumbai,Furnished,2
1296,1,33000,460,10,Carpet Area,Mumbai,Semi-Furnished,2
1297,1,36000,585,10,Super Area,Mumbai,Semi-Furnished,2
1298,2,22000,550,2,Carpet Area,Mumbai,Furnished,2
1299,1,17000,375,9,Carpet Area,Mumbai,Unfurnished,1
1300,2,55000,700,10,Carpet Area,Mumbai,Furnished,2
1301,2,66000,750,2,Carpet Area,Mumbai,Unfurnished,2
1302,4,140000,2000,6,Carpet Area,Mumbai,Furnished,4
1303,4,260000,2046,22,Carpet Area,Mumbai,Semi-Furnished,5
1304,2,32000,750,3,Super Area,Mumbai,Semi-Furnished,2
1305,2,45000,730,5,Carpet Area,Mumbai,Unfurnished,2
1306,2,50000,750,10,Carpet Area,Mumbai,Semi-Furnished,2
1307,1,18500,229,5,Super Area,Mumbai,Semi-Furnished,1
1308,2,51000,910,10,Carpet Area,Mumbai,Unfurnished,2
1309,4,140000,1648,21,Carpet Area,Mumbai,Semi-Furnished,5
1310,3,80000,1100,48,Carpet Area,Mumbai,Unfurnished,3
1311,1,30000,560,2,Carpet Area,Mumbai,Unfurnished,2
1312,2,85000,850,4,Carpet Area,Mumbai,Unfurnished,2
1313,1,15000,450,2,Super Area,Mumbai,Unfurnished,1
1314,2,50000,820,7,Carpet Area,Mumbai,Semi-Furnished,2
1315,2,60000,750,10,Carpet Area,Mumbai,Unfurnished,2
1316,1,23000,410,4,Carpet Area,Mumbai,Unfurnished,1
1317,1,14500,490,12,Carpet Area,Mumbai,Unfurnished,2
1318,2,40000,700,11,Carpet Area,Mumbai,Unfurnished,2
1319,5,650000,3000,8,Carpet Area,Mumbai,Semi-Furnished,5
1320,1,80000,560,1,Carpet Area,Mumbai,Furnished,1
1321,2,55000,650,8,Carpet Area,Mumbai,Unfurnished,2
1322,1,12000,520,2,Super Area,Mumbai,Semi-Furnished,1
1323,2,45000,850,9,Carpet Area,Mumbai,Unfurnished,2
1324,2,90000,777,19,Carpet Area,Mumbai,Furnished,2
1325,2,43000,771,15,Carpet Area,Mumbai,Unfurnished,2
1326,1,22000,400,3,Carpet Area,Mumbai,Unfurnished,1
1327,2,20000,600,7,Carpet Area,Mumbai,Furnished,2
1329,4,850000,3200,2,Carpet Area,Mumbai,Furnished,4
1330,1,34999,450,5,Carpet Area,Mumbai,Furnished,2
1331,1,35000,500,7,Super Area,Mumbai,Semi-Furnished,2
1332,1,50000,410,6,Carpet Area,Mumbai,Semi-Furnished,1
1333,1,16000,160,2,Carpet Area,Mumbai,Unfurnished,1
1334,2,55000,750,10,Carpet Area,Mumbai,Unfurnished,2
1335,1,39000,585,3,Super Area,Mumbai,Unfurnished,2
1336,3,100000,1300,12,Carpet Area,Mumbai,Semi-Furnished,3
1337,1,25000,350,2,Carpet Area,Mumbai,Furnished,1
1338,1,25000,490,3,Super Area,Mumbai,Semi-Furnished,2
1339,2,49500,650,5,Carpet Area,Mumbai,Unfurnished,2
1340,1,21000,225,6,Carpet Area,Mumbai,Unfurnished,1
1341,2,110000,850,5,Carpet Area,Mumbai,Semi-Furnished,2
1342,1,21000,385,0,Super Area,Mumbai,Unfurnished,1
1343,2,46700,800,2,Carpet Area,Mumbai,Unfurnished,2
1344,4,400000,2500,5,Carpet Area,Mumbai,Furnished,4
1345,4,280000,1526,76,Carpet Area,Mumbai,Semi-Furnished,5
1346,1,18000,300,3,Super Area,Mumbai,Unfurnished,1
1347,3,80000,1800,10,Super Area,Mumbai,Semi-Furnished,3
1348,2,88000,800,5,Carpet Area,Mumbai,Semi-Furnished,2
1349,3,90000,890,20,Carpet Area,Mumbai,Furnished,2
1350,2,38000,700,14,Carpet Area,Mumbai,Unfurnished,2
1351,1,20000,465,3,Super Area,Mumbai,Semi-Furnished,1
1352,2,140000,900,8,Carpet Area,Mumbai,Furnished,2
1353,3,78000,1073,8,Carpet Area,Mumbai,Semi-Furnished,3
1354,1,21000,450,4,Super Area,Mumbai,Unfurnished,1
1355,3,95000,1350,8,Carpet Area,Mumbai,Furnished,3
1356,2,90000,800,5,Carpet Area,Mumbai,Furnished,2
1357,2,34000,600,4,Carpet Area,Mumbai,Unfurnished,2
1358,2,55000,650,5,Carpet Area,Mumbai,Unfurnished,2
1359,2,52000,550,3,Carpet Area,Mumbai,Furnished,2
1360,1,74999,840,8,Carpet Area,Mumbai,Unfurnished,2
1361,3,75000,1121,30,Carpet Area,Mumbai,Furnished,2
1362,2,45000,650,2,Carpet Area,Mumbai,Unfurnished,2
1363,1,22000,575,14,Super Area,Mumbai,Unfurnished,1
1364,1,32000,475,3,Super Area,Mumbai,Furnished,1
1365,2,34000,830,9,Carpet Area,Mumbai,Semi-Furnished,2
1366,3,170000,1337,28,Carpet Area,Mumbai,Semi-Furnished,3
1367,1,23000,420,5,Carpet Area,Mumbai,Semi-Furnished,2
1368,1,20000,310,0,Carpet Area,Mumbai,Unfurnished,1
1369,3,350000,1800,2,Carpet Area,Mumbai,Furnished,4
1370,3,90000,967,14,Carpet Area,Mumbai,Furnished,3
1371,1,55000,505,4,Carpet Area,Mumbai,Semi-Furnished,1
1372,1,15000,275,3,Super Area,Mumbai,Unfurnished,1
1373,2,22000,640,21,Carpet Area,Mumbai,Semi-Furnished,2
1374,3,60000,1500,10,Carpet Area,Mumbai,Semi-Furnished,3
1375,2,49000,850,10,Carpet Area,Mumbai,Semi-Furnished,2
1376,2,34000,900,12,Carpet Area,Mumbai,Semi-Furnished,2
1377,1,24000,430,6,Carpet Area,Mumbai,Furnished,2
1378,4,270000,1649,18,Carpet Area,Mumbai,Semi-Furnished,3
1379,3,69000,1100,12,Carpet Area,Mumbai,Unfurnished,3
1380,3,120000,1200,14,Carpet Area,Mumbai,Semi-Furnished,3
1381,2,32000,680,5,Carpet Area,Mumbai,Unfurnished,2
1382,2,24000,600,5,Carpet Area,Mumbai,Semi-Furnished,2
1383,4,100000,1560,12,Carpet Area,Mumbai,Unfurnished,4
1384,5,600000,4500,7,Carpet Area,Mumbai,Furnished,5
1385,2,45000,771,20,Carpet Area,Mumbai,Unfurnished,2
1386,2,80000,800,7,Carpet Area,Mumbai,Semi-Furnished,2
1387,2,37000,800,5,Super Area,Mumbai,Semi-Furnished,2
1388,3,210000,1425,9,Carpet Area,Mumbai,Furnished,4
1389,4,190000,1750,5,Carpet Area,Mumbai,Semi-Furnished,4
1390,1,25000,475,11,Carpet Area,Mumbai,Unfurnished,2
1391,4,210000,2000,27,Carpet Area,Mumbai,Unfurnished,5
1392,3,200000,1375,15,Carpet Area,Mumbai,Semi-Furnished,3
1393,5,310000,2800,19,Carpet Area,Mumbai,Semi-Furnished,5
1394,1,26000,650,1,Super Area,Mumbai,Semi-Furnished,1
1395,2,27000,600,18,Carpet Area,Mumbai,Unfurnished,2
1396,1,26000,649,3,Super Area,Mumbai,Unfurnished,1
1397,2,60000,950,2,Carpet Area,Mumbai,Furnished,2
1398,1,12000,225,7,Carpet Area,Mumbai,Unfurnished,1
1399,2,180000,1000,6,Carpet Area,Mumbai,Furnished,2
1400,1,30000,330,13,Carpet Area,Mumbai,Furnished,1
1401,3,100000,1200,8,Carpet Area,Mumbai,Furnished,3
1402,3,140000,1270,15,Carpet Area,Mumbai,Semi-Furnished,3
1403,3,70000,920,14,Carpet Area,Mumbai,Unfurnished,3
1404,2,20000,630,4,Carpet Area,Mumbai,Unfurnished,2
1405,2,22000,670,4,Carpet Area,Mumbai,Furnished,2
1406,1,32000,450,1,Super Area,Mumbai,Furnished,1
1407,1,20000,265,6,Super Area,Mumbai,Unfurnished,1
1408,2,50000,600,9,Carpet Area,Mumbai,Semi-Furnished,2
1409,2,29000,670,7,Carpet Area,Mumbai,Unfurnished,2
1410,2,45000,650,10,Carpet Area,Mumbai,Semi-Furnished,2
1411,1,6500,422,9,Carpet Area,Mumbai,Semi-Furnished,2
1412,2,55000,955,8,Carpet Area,Mumbai,Unfurnished,2
1413,3,69999,1100,6,Carpet Area,Mumbai,Furnished,3
1414,1,18500,300,3,Carpet Area,Mumbai,Unfurnished,1
1415,2,50000,900,5,Carpet Area,Mumbai,Semi-Furnished,2
1416,2,45000,785,2,Carpet Area,Mumbai,Unfurnished,2
1417,3,85000,1350,20,Carpet Area,Mumbai,Furnished,3
1418,2,85000,900,27,Carpet Area,Mumbai,Semi-Furnished,2
1419,1,25000,400,18,Carpet Area,Mumbai,Unfurnished,1
1420,2,75000,800,19,Carpet Area,Mumbai,Semi-Furnished,3
1421,2,190000,895,32,Carpet Area,Mumbai,Semi-Furnished,2
1422,1,20000,625,10,Super Area,Mumbai,Semi-Furnished,1
1423,2,30000,720,5,Carpet Area,Mumbai,Semi-Furnished,2
1424,2,75000,750,4,Carpet Area,Mumbai,Furnished,2
1425,3,350000,1663,19,Carpet Area,Mumbai,Semi-Furnished,2
1426,2,70000,660,0,Carpet Area,Mumbai,Semi-Furnished,2
1427,2,32000,700,0,Carpet Area,Mumbai,Furnished,2
1428,1,22000,377,3,Super Area,Mumbai,Unfurnished,2
1429,2,35000,650,5,Carpet Area,Mumbai,Semi-Furnished,2
1430,2,47000,650,5,Carpet Area,Mumbai,Unfurnished,2
1431,4,400000,2080,34,Carpet Area,Mumbai,Semi-Furnished,5
1432,2,31000,700,2,Super Area,Mumbai,Semi-Furnished,2
1433,1,60000,430,1,Carpet Area,Mumbai,Furnished,1
1434,2,58000,650,15,Carpet Area,Mumbai,Unfurnished,2
1435,3,85000,890,4,Carpet Area,Mumbai,Furnished,2
1436,2,45000,965,19,Super Area,Mumbai,Unfurnished,2
1437,1,7500,630,3,Super Area,Mumbai,Semi-Furnished,2
1438,4,250000,2100,35,Carpet Area,Mumbai,Semi-Furnished,4
1439,3,150000,1100,9,Carpet Area,Mumbai,Furnished,3
1440,2,80000,730,4,Carpet Area,Mumbai,Semi-Furnished,2
1441,3,75000,1380,9,Carpet Area,Mumbai,Semi-Furnished,3
1442,3,66000,1100,17,Carpet Area,Mumbai,Semi-Furnished,3
1443,1,45000,450,5,Carpet Area,Mumbai,Semi-Furnished,1
1444,1,22000,500,3,Super Area,Mumbai,Unfurnished,1
1445,3,65000,1100,9,Carpet Area,Mumbai,Semi-Furnished,3
1446,3,55000,868,9,Carpet Area,Mumbai,Unfurnished,3
1447,2,55000,750,6,Carpet Area,Mumbai,Semi-Furnished,2
1448,1,36000,540,2,Super Area,Mumbai,Unfurnished,2
1449,4,230000,2100,21,Carpet Area,Mumbai,Furnished,5
1450,1,22000,450,4,Carpet Area,Mumbai,Semi-Furnished,2
1451,3,170000,1600,25,Carpet Area,Mumbai,Semi-Furnished,4
1452,1,34000,560,3,Super Area,Mumbai,Semi-Furnished,2
1453,1,45000,500,2,Carpet Area,Mumbai,Unfurnished,1
1454,1,14000,305,2,Carpet Area,Mumbai,Unfurnished,1
1455,3,75000,970,1,Carpet Area,Mumbai,Furnished,2
1456,1,7000,480,4,Carpet Area,Mumbai,Unfurnished,1
1457,2,55000,720,1,Carpet Area,Mumbai,Semi-Furnished,2
1458,2,55000,950,7,Carpet Area,Mumbai,Semi-Furnished,2
1459,4,700000,3200,24,Carpet Area,Mumbai,Furnished,4
1460,3,140000,1450,18,Carpet Area,Mumbai,Furnished,3
1461,2,42000,774,10,Carpet Area,Mumbai,Semi-Furnished,2
1462,1,27000,450,2,Super Area,Mumbai,Unfurnished,1
1463,3,60000,1000,1,Carpet Area,Mumbai,Semi-Furnished,3
1464,1,17000,340,1,Super Area,Mumbai,Semi-Furnished,1
1465,1,30000,430,14,Carpet Area,Mumbai,Semi-Furnished,2
1466,2,45000,722,4,Carpet Area,Mumbai,Unfurnished,2
1467,3,90000,1152,12,Carpet Area,Mumbai,Furnished,2
1468,1,25000,641,3,Super Area,Mumbai,Unfurnished,1
1469,2,70000,810,4,Carpet Area,Mumbai,Furnished,2
1470,2,90000,800,5,Carpet Area,Mumbai,Furnished,2
1471,2,110000,875,12,Carpet Area,Mumbai,Unfurnished,2
1472,2,20000,700,8,Super Area,Mumbai,Unfurnished,2
1473,1,35000,420,0,Super Area,Mumbai,Semi-Furnished,1
1474,3,80000,1400,1,Carpet Area,Mumbai,Furnished,3
1475,2,54500,758,12,Carpet Area,Mumbai,Semi-Furnished,2
1476,4,350000,2880,45,Carpet Area,Mumbai,Unfurnished,5
1477,1,45000,480,7,Carpet Area,Mumbai,Furnished,2
1478,1,38000,550,6,Carpet Area,Mumbai,Unfurnished,2
1479,2,90000,900,60,Carpet Area,Mumbai,Semi-Furnished,2
1480,1,22000,400,8,Super Area,Mumbai,Unfurnished,1
1481,2,70000,760,9,Carpet Area,Mumbai,Semi-Furnished,2
1482,4,380000,2800,36,Carpet Area,Mumbai,Unfurnished,5
1483,1,50000,400,10,Carpet Area,Mumbai,Semi-Furnished,1
1484,4,680000,1962,18,Carpet Area,Mumbai,Semi-Furnished,5
1485,3,140000,1100,6,Carpet Area,Mumbai,Semi-Furnished,3
1486,2,40000,800,1,Super Area,Mumbai,Semi-Furnished,2
1487,2,32000,590,7,Carpet Area,Mumbai,Unfurnished,2
1488,2,78000,600,14,Carpet Area,Mumbai,Semi-Furnished,2
1489,4,280000,2500,24,Carpet Area,Mumbai,Semi-Furnished,6
1490,2,45000,670,17,Carpet Area,Mumbai,Unfurnished,2
1491,2,65000,960,16,Carpet Area,Mumbai,Semi-Furnished,2
1492,2,65000,1500,4,Super Area,Mumbai,Semi-Furnished,3
1493,1,35000,500,1,Super Area,Mumbai,Semi-Furnished,1
1494,3,90000,1120,8,Carpet Area,Mumbai,Furnished,2
1495,4,250000,2729,20,Carpet Area,Mumbai,Semi-Furnished,5
1496,3,70000,3354,0,Carpet Area,Bangalore,Furnished,3
1497,2,10500,800,3,Super Area,Bangalore,Semi-Furnished,2
1498,2,13000,1000,0,Super Area,Bangalore,Semi-Furnished,2
1499,2,17000,1040,4,Super Area,Bangalore,Furnished,2
1500,3,21000,1403,1,Super Area,Bangalore,Semi-Furnished,3
1501,2,10000,600,3,Super Area,Bangalore,Furnished,1
1502,4,61500,2608,1,Carpet Area,Bangalore,Semi-Furnished,3
1503,2,13000,850,1,Carpet Area,Bangalore,Semi-Furnished,2
1504,1,7500,400,1,Super Area,Bangalore,Unfurnished,1
1505,2,17000,1000,3,Super Area,Bangalore,Semi-Furnished,2
1506,3,25000,1350,5,Carpet Area,Bangalore,Semi-Furnished,3
1507,2,10500,800,1,Carpet Area,Bangalore,Semi-Furnished,2
1508,1,8000,350,3,Super Area,Bangalore,Semi-Furnished,1
1509,1,9500,900,0,Super Area,Bangalore,Semi-Furnished,1
1510,3,50000,2000,1,Carpet Area,Bangalore,Semi-Furnished,3
1511,2,13000,700,1,Super Area,Bangalore,Semi-Furnished,2
1512,1,13500,600,1,Super Area,Bangalore,Semi-Furnished,1
1513,2,13000,700,0,Carpet Area,Bangalore,Semi-Furnished,1
1514,1,15000,600,2,Super Area,Bangalore,Semi-Furnished,1
1515,2,15000,1400,0,Super Area,Bangalore,Furnished,3
1516,1,7000,600,0,Super Area,Bangalore,Unfurnished,1
1517,2,25000,770,8,Super Area,Bangalore,Furnished,2
1518,2,17000,900,1,Carpet Area,Bangalore,Semi-Furnished,2
1519,1,7500,500,0,Super Area,Bangalore,Furnished,1
1520,2,15000,1100,1,Super Area,Bangalore,Unfurnished,2
1521,1,7500,500,1,Super Area,Bangalore,Semi-Furnished,1
1522,3,25000,1260,0,Super Area,Bangalore,Furnished,3
1523,3,54000,1750,2,Carpet Area,Bangalore,Semi-Furnished,3
1524,1,14500,600,1,Carpet Area,Bangalore,Semi-Furnished,1
1525,1,4500,450,0,Super Area,Bangalore,Semi-Furnished,1
1526,2,10500,800,3,Super Area,Bangalore,Semi-Furnished,1
1527,1,5500,400,0,Super Area,Bangalore,Unfurnished,1
1528,2,16000,600,1,Carpet Area,Bangalore,Unfurnished,2
1529,1,7000,400,0,Super Area,Bangalore,Unfurnished,1
1530,2,12500,900,0,Super Area,Bangalore,Furnished,2
1531,2,10000,1200,0,Super Area,Bangalore,Semi-Furnished,1
1532,2,18000,1045,1,Carpet Area,Bangalore,Semi-Furnished,2
1533,3,28000,1021,10,Carpet Area,Bangalore,Furnished,3
1534,3,12000,1200,0,Super Area,Bangalore,Unfurnished,2
1535,2,13000,1000,1,Carpet Area,Bangalore,Unfurnished,1
1536,2,50000,1280,2,Carpet Area,Bangalore,Furnished,2
1537,1,7000,450,1,Carpet Area,Bangalore,Semi-Furnished,1
1538,2,30000,450,2,Super Area,Bangalore,Unfurnished,2
1539,1,10000,600,3,Super Area,Bangalore,Semi-Furnished,2
1540,2,15000,800,2,Super Area,Bangalore,Semi-Furnished,2
1541,1,7500,500,2,Super Area,Bangalore,Unfurnished,1
1542,3,45000,1680,7,Super Area,Bangalore,Semi-Furnished,3
1543,3,65000,2000,23,Carpet Area,Bangalore,Semi-Furnished,3
1544,1,12000,500,1,Carpet Area,Bangalore,Semi-Furnished,1
1545,1,7000,500,2,Carpet Area,Bangalore,Semi-Furnished,1
1546,1,9000,800,2,Super Area,Bangalore,Unfurnished,1
1547,2,23000,1100,2,Super Area,Bangalore,Semi-Furnished,2
1548,2,30000,1200,3,Super Area,Bangalore,Semi-Furnished,2
1549,1,8000,500,2,Carpet Area,Bangalore,Unfurnished,1
1550,2,16000,1155,3,Super Area,Bangalore,Semi-Furnished,2
1551,1,7500,440,3,Super Area,Bangalore,Semi-Furnished,1
1552,2,20000,1040,1,Carpet Area,Bangalore,Semi-Furnished,2
1553,4,110000,2900,7,Carpet Area,Bangalore,Furnished,4
1554,3,30000,1200,1,Super Area,Bangalore,Semi-Furnished,2
1555,3,20000,1600,2,Super Area,Bangalore,Semi-Furnished,3
1556,4,84000,3150,8,Carpet Area,Bangalore,Unfurnished,4
1557,2,17000,1000,2,Super Area,Bangalore,Semi-Furnished,2
1558,2,15000,1200,1,Super Area,Bangalore,Semi-Furnished,2
1559,1,6000,400,4,Super Area,Bangalore,Semi-Furnished,1
1560,2,16000,950,1,Carpet Area,Bangalore,Furnished,3
1561,2,9500,530,1,Carpet Area,Bangalore,Semi-Furnished,1
1562,1,8000,300,0,Carpet Area,Bangalore,Unfurnished,1
1563,2,15000,1000,0,Super Area,Bangalore,Semi-Furnished,2
1564,1,12000,450,3,Super Area,Bangalore,Unfurnished,1
1565,1,10000,600,0,Carpet Area,Bangalore,Semi-Furnished,1
1566,2,16000,1100,2,Super Area,Bangalore,Unfurnished,2
1567,1,11000,400,1,Super Area,Bangalore,Unfurnished,1
1568,2,11000,700,1,Super Area,Bangalore,Unfurnished,2
1569,2,20000,1105,1,Super Area,Bangalore,Semi-Furnished,2
1570,3,24000,1430,3,Super Area,Bangalore,Semi-Furnished,2
1571,2,14500,850,2,Super Area,Bangalore,Semi-Furnished,2
1572,1,4000,650,1,Super Area,Bangalore,Unfurnished,1
1573,2,12000,1200,0,Super Area,Bangalore,Unfurnished,2
1574,2,8500,600,1,Super Area,Bangalore,Unfurnished,2
1575,1,9000,400,2,Carpet Area,Bangalore,Semi-Furnished,1
1576,4,180000,2800,0,Carpet Area,Bangalore,Furnished,4
1577,2,10500,1100,0,Super Area,Bangalore,Semi-Furnished,2
1578,2,12000,900,1,Super Area,Bangalore,Unfurnished,2
1579,3,32000,1300,2,Super Area,Bangalore,Semi-Furnished,2
1580,2,15000,1000,0,Super Area,Bangalore,Semi-Furnished,3
1581,3,21000,1000,1,Carpet Area,Bangalore,Furnished,3
1582,2,12000,900,0,Carpet Area,Bangalore,Unfurnished,2
1583,1,7000,800,1,Carpet Area,Bangalore,Unfurnished,1
1584,2,15000,750,1,Super Area,Bangalore,Unfurnished,2
1585,2,11400,1100,2,Carpet Area,Bangalore,Unfurnished,2
1586,2,15000,1200,1,Super Area,Bangalore,Semi-Furnished,2
1587,2,19000,1000,0,Carpet Area,Bangalore,Semi-Furnished,2
1588,2,27000,1000,4,Carpet Area,Bangalore,Semi-Furnished,2
1589,3,48000,2000,2,Carpet Area,Bangalore,Semi-Furnished,3
1590,1,7000,550,1,Super Area,Bangalore,Semi-Furnished,1
1591,2,15000,1130,0,Super Area,Bangalore,Unfurnished,2
1592,2,10000,600,0,Super Area,Bangalore,Semi-Furnished,2
1593,1,7000,100,1,Carpet Area,Bangalore,Semi-Furnished,1
1594,2,9000,500,2,Super Area,Bangalore,Semi-Furnished,1
1595,1,8000,600,0,Super Area,Bangalore,Unfurnished,1
1596,2,35000,1200,1,Carpet Area,Bangalore,Semi-Furnished,2
1597,2,16000,850,1,Super Area,Bangalore,Semi-Furnished,2
1598,1,4500,600,1,Super Area,Bangalore,Unfurnished,1
1599,2,16000,600,1,Super Area,Bangalore,Unfurnished,1
1600,2,10000,700,1,Super Area,Bangalore,Semi-Furnished,1
1601,1,8000,400,1,Carpet Area,Bangalore,Unfurnished,1
1602,1,6000,400,3,Super Area,Bangalore,Semi-Furnished,1
1603,2,13000,1000,1,Carpet Area,Bangalore,Unfurnished,2
1604,2,10000,1200,0,Super Area,Bangalore,Semi-Furnished,2
1605,3,55000,1603,6,Carpet Area,Bangalore,Semi-Furnished,3
1606,3,15000,1200,0,Super Area,Bangalore,Semi-Furnished,3
1607,1,12000,420,2,Carpet Area,Bangalore,Semi-Furnished,1
1608,2,9000,1200,3,Super Area,Bangalore,Semi-Furnished,2
1609,3,36000,1771,10,Super Area,Bangalore,Semi-Furnished,3
1610,3,37000,1200,2,Super Area,Bangalore,Semi-Furnished,3
1611,2,6000,700,1,Super Area,Bangalore,Unfurnished,1
1612,1,17000,610,10,Super Area,Bangalore,Semi-Furnished,1
1613,1,8000,800,3,Super Area,Bangalore,Unfurnished,1
1614,1,7500,550,2,Super Area,Bangalore,Semi-Furnished,1
1615,2,9500,750,1,Super Area,Bangalore,Semi-Furnished,1
1616,2,13500,700,1,Carpet Area,Bangalore,Semi-Furnished,2
1617,1,9000,600,2,Carpet Area,Bangalore,Semi-Furnished,1
